date	STCK
14/11/2018 00:00	143.7
15/11/2018 00:00	142.08
16/11/2018 00:00	141.1
19/11/2018 00:00	137.5
20/11/2018 00:00	126.96
21/11/2018 00:00	134.27
23/11/2018 00:00	133.65
26/11/2018 00:00	133
27/11/2018 00:00	135.81
28/11/2018 00:00	136.23
29/11/2018 00:00	135.92
30/11/2018 00:00	138.26
03/12/2018 00:00	142.94
04/12/2018 00:00	140.73
06/12/2018 00:00	133.95
07/12/2018 00:00	139.25
10/12/2018 00:00	139.6
11/12/2018 00:00	143.79
12/12/2018 00:00	143
13/12/2018 00:00	145.5
14/12/2018 00:00	143.32
17/12/2018 00:00	143.08
18/12/2018 00:00	141.06
19/12/2018 00:00	141.14
20/12/2018 00:00	131
21/12/2018 00:00	132.78
24/12/2018 00:00	123.02
26/12/2018 00:00	126
27/12/2018 00:00	132.5
28/12/2018 00:00	135.43
31/12/2018 00:00	134.4
02/01/2019 00:00	129
03/01/2019 00:00	134.58
04/01/2019 00:00	134.01
07/01/2019 00:00	137.45
09/01/2019 00:00	142.98
10/01/2019 00:00	0.16
11/01/2019 00:00	143.5
14/01/2019 00:00	9756
15/01/2019 00:00	146.66
16/01/2019 00:00	149.03
17/01/2019 00:00	147
18/01/2019 00:00	149.83
22/01/2019 00:00	149.06
23/01/2019 00:00	148.26
24/01/2019 00:00	144.64
25/01/2019 00:00	147.27
28/01/2019 00:00	148.05
29/01/2019 00:00	148
30/01/2019 00:00	150.42
31/01/2019 00:00	165.59
01/02/2019 00:00	165.9
04/02/2019 00:00	165.55
05/02/2019 00:00	169.11
06/02/2019 00:00	171.21
07/02/2019 00:00	168
08/02/2019 00:00	164.47
11/02/2019 00:00	167.75
12/02/2019 00:00	166.86
13/02/2019 00:00	165.38
14/02/2019 00:00	163.19
15/02/2019 00:00	164.7
19/02/2019 00:00	160.35
20/02/2019 00:00	162.02
21/02/2019 00:00	161.89
22/02/2019 00:00	160.58
25/02/2019 00:00	164.62
26/02/2019 00:00	164.22
27/02/2019 00:00	162.91
28/02/2019 00:00	162.37
01/03/2019 00:00	184
04/03/2019 00:00	163.83
05/03/2019 00:00	167.37
06/03/2019 00:00	172.6
07/03/2019 00:00	171.48
08/03/2019 00:00	166.31
11/03/2019 00:00	171.59
12/03/2019 00:00	172.09
13/03/2019 00:00	172.35
14/03/2019 00:00	169.18
15/03/2019 00:00	167.15
18/03/2019 00:00	163.4
19/03/2019 00:00	161.57
20/03/2019 00:00	161.5
21/03/2019 00:00	164.9
22/03/2019 00:00	165.55
25/03/2019 00:00	163.02
26/03/2019 00:00	167.35
27/03/2019 00:00	167.85
28/03/2019 00:00	164.25
29/03/2019 00:00	166.43
01/04/2019 00:00	167.91
02/04/2019 00:00	170
03/04/2019 00:00	174.5
04/04/2019 00:00	176
